StaTerr,year,lower.turnover.caseworker,upper.turnover.caseworker,turnover.supervisor
MA,2014,0.1205074,0.170190275,0.14953271
MA,2015,0.256807261,0.304858516,0.277904328
MD,2004,0.142857143,0.18487395,0.148514851
MD,2005,0.153846154,0.192307692,0.126315789
MD,2008,0.014354067,0.136363636,0.181102362
MD,2009,0.132264529,0.186372745,0.302158273
MD,2010,0.122641509,0.181132075,0.243478261
MD,2011,0.073770492,0.170081967,0.294642857
MD,2013,0.071895425,0.148148148,0.247787611
MD,2014,0.050772627,0.156732892,0.247706422
MD,2015,0.125274725,0.213186813,0.260504202
ME,2004,0.196172249,0.253588517,0.173913043
ME,2005,0.170731707,0.253658537,0.227272727
ME,2006,0.116504854,0.218446602,0.193548387
ME,2007,0.123853211,0.229357798,0.123076923
ME,2008,0.149122807,0.228070175,0.166666667
ME,2009,0.192468619,0.234309623,0.191780822
ME,2010,0.157657658,0.207207207,0.088235294
ME,2011,0.234309623,0.271966527,0.154929577
ME,2012,0.150684932,0.228310502,0.106060606
ME,2013,0.11023622,0.192913386,0.162162162
ME,2014,0.246710526,0.289473684,0.15
ME,2015,0.206293706,0.237762238,0.131578947
MI,2004,NA,0.136682243,NA
MI,2005,NA,0.135,NA
MI,2006,NA,0.115671642,NA
MI,2009,0.052631579,0.220394737,0.105413105
MI,2010,0.100189036,0.222117202,0.234042553
MI,2011,0.023854962,0.251908397,0.214622642
MI,2012,0.163834126,0.282121006,0.301740812
MI,2013,0.185114504,0.270992366,0.239754098
MI,2015,0.108929702,0.217859405,0.006493506
MN,2004,0,0.093073593,0.168421053
MN,2005,0.064885496,0.143129771,0.317073171
MN,2006,0.101045296,0.181184669,0.263157895
MN,2007,0.116161616,0.178451178,0.262295082
MN,2008,0.113902848,0.180904523,0.227642276
MN,2009,0.176182708,0.195758564,0.161538462
MN,2010,0.097053726,0.152512998,0.220338983
MN,2011,0.054577465,0.132042254,0.393162393
MN,2012,0.107491857,0.185667752,0.254545455
MN,2013,0.094003241,0.176661264,0.347457627
MN,2014,0.124401914,0.213716108,0.401709402
MN,2015,0.120915033,0.205882353,0.284482759
MO,2005,0,0.17798913,0.159090909
MO,2006,0.15651135,0.259259259,0.410891089
MO,2007,0.124191462,0.260025873,0.178217822
MO,2008,0.244200244,0.284493284,0.202290076
MO,2009,0.23019802,0.288366337,0.229437229
MO,2010,0.113788487,0.21686747,0.224770642
MO,2011,0.064,0.185333333,0.167364017
MO,2013,0.027842227,0.226218097,0.249056604
MO,2014,0.188331627,0.245649949,0.156342183
MO,2015,0.230263158,0.29887218,0.27388535
MS,2004,0.138107417,0.163682864,0.217391304
MS,2005,0.205583756,0.256345178,0.234567901
MS,2006,0.167101828,0.240208877,0.172839506
MS,2007,0.164215686,0.242647059,0.180851064
MS,2008,0.163522013,0.241090147,0.177570093
MS,2009,0.192307692,0.280769231,0.195121951
MS,2010,0.183303085,0.221415608,0.181818182
MS,2011,0.118443316,0.187817259,0.167883212
MS,2012,0.15397351,0.240066225,0.241830065
MS,2013,0.19470405,0.260124611,0.259036145
MS,2014,0.144492132,0.217453505,0.31097561
MS,2015,0.147776184,0.236728838,0.358490566
MT,2004,0.101190476,0.130952381,0.157894737
MT,2005,0.132947977,0.167630058,0.114285714
MT,2006,0.118343195,0.165680473,0.111111111
MT,2007,0.127777778,0.166666667,0.105263158
MT,2008,0.178571429,0.219387755,0.125
MT,2009,0.169230769,0.205128205,0.142857143
MT,2010,0.189320388,0.223300971,0.19047619
MT,2011,0.14893617,0.191489362,0.263157895
MT,2012,0.102439024,0.190243902,0.285714286
MT,2013,0.200873362,0.262008734,0.333333333
MT,2014,0.222222222,0.316872428,0.43902439
MT,2015,0.144104803,0.213973799,0.255813953
NC,2004,NA,0.192546584,NA
NC,2005,NA,0.29587766,NA
NC,2007,NA,0.323549965,NA
NC,2008,NA,0.542419482,NA
NC,2009,NA,0.266138855,NA
NC,2010,NA,0.23028786,NA
NC,2011,NA,0.227272727,NA
NC,2012,NA,0.235148515,NA
NC,2013,NA,0.272563177,NA
NC,2014,NA,0.256550884,NA
NC,2015,NA,0.269704433,NA
ND,2011,0.06185567,0.134020619,0.106382979
ND,2012,0.176470588,0.25210084,0.212765957
ND,2013,0,0.155172414,0.186046512
ND,2014,0.036764706,0.213235294,0.192307692
ND,2015,0.128787879,0.212121212,0.125
NE,2004,0.009302326,0.190697674,0.254237288
NE,2005,0.084805654,0.229681979,0.285714286
NE,2006,0.22392638,0.303680982,0.192307692
NE,2007,0.194805195,0.318181818,0.219512195
NE,2008,0.167763158,0.299342105,0.213483146
NE,2009,0.308357349,0.351585014,0.259615385
NE,2010,0.297213622,0.346749226,0.218390805
NE,2011,0.322884013,0.398119122,0.345238095
NE,2012,0.287822878,0.402214022,0.217948718
NE,2013,0.309623431,0.426778243,0.375
