StaTerr,type,cases_median,cases_75thPct,cases_25thPct,cases_mean,cases_sd,tenure_median_yrs,tenure_75thPct,tenure_25thPct,tenure_mean,tenure_sd,caseload_median,caseload_75thPct,caseload_25thPct,caseload_mean,caseload_sd
MN,Caseworker,58,164.5,17,154.92370231394622,245.01725398579524,3.0465753424657533,6.801369863013699,1.2315068493150685,4.391343905009124,3.8880746543184195,28.9870340356564,51.420134443021766,11.127122395110355,35.54010088959848,29.474641049806877
MO,Caseworker,80.5,216,22,158.10108059432687,202.7335449630351,1.3027397260273972,2.936986301369863,0.6931506849315069,2.0697482930680366,1.9369792141086728,81.11111111111111,125.29456944067951,25.52503799392097,80.85543155839744,57.06428578021962
MS,Caseworker,82,172,33,129.17751780264496,145.43274557029966,2.2465753424657535,4.495890410958904,0.9678082191780821,3.1323234716202846,2.831379078879703,42.891012354983715,58.38319959706575,28.252263454676886,45.726965082577614,26.27095442533138
MT,Caseworker,72,167.5,24,158.98924731182797,265.6390405874136,2.191780821917808,5.315068493150685,0.9205479452054794,3.625659154514656,3.5762601392301057,41.01123595505618,59.9622004628241,21.394126026478965,46.01357875900603,35.15070592573776
NC,Caseworker,55,135,21,106.06808352897566,134.7663846578909,1.2931506849315069,2.728767123287671,0.6356164383561644,2.057710959411905,2.0713889105834657,57.083333333333336,81.07373271889401,27.843273231622746,56.77184056130382,35.04182586642054
ND,Caseworker,41,110.5,14,95.25974025974025,125.71770335686035,2.2465753424657535,4.058904109589042,1,2.662883235485975,1.8416212351763208,31.970802919708028,52.83481753099354,10.77882100149477,34.88741601521224,26.126063973709194
NE,Caseworker,42.5,141.25,13,118.94604316546763,183.23406003908423,2.4972602739726026,4.463698630136986,1.3109589041095893,3.4232162215433135,2.945854773638643,23.705350205350204,61.74600600113535,6.900191767721982,36.81870103084044,34.90925986379129
NH,Caseworker,57,258,18,306.8762214983713,647.5504000280795,3.9534246575342467,8.36027397260274,1.7534246575342465,5.189460532774084,3.991644060654916,23.401332223147378,63.092826616039545,5.921559252813344,45.41948569184539,59.840943700379086
NJ,Caseworker,46,123.75,16,101.65081748415082,160.46343184232703,2.749315068493151,4.634931506849315,1.463013698630137,3.356500335952391,2.3858191697061253,22.42939431957703,41.5012193983718,9.178430316463286,28.80269789615949,26.73398626251083
NM,Caseworker,110,314,25.5,233.54574132492112,317.5351282021742,2.03013698630137,4.721917808219178,0.8246575342465754,3.3724010774527176,3.4349304987387086,88.3377659574468,133.49938076560795,21.010265072765073,84.70845303518897,62.99040662098381
NV,Caseworker,83,265,18,195.83255813953488,262.5314214541266,2.858904109589041,6.368493150684931,1.1794520547945204,4.053128384835935,3.4317478886538373,38.81210973872419,70.46377882909522,13.896771859560909,46.68736872827883,38.251450151489244
OK,Caseworker,73,182,21,129.35807860262008,157.90349813832805,1.5808219178082192,2.856164383561644,0.7013698630136986,2.3628992442822674,2.397277973168899,60.833333333333336,93.68412570330162,26.313017098731383,62.56530926830849,41.639716768015084
OR,Caseworker,80,164,24.5,111.60166840458811,104.62536724483924,1.6602739726027398,3.080821917808219,0.8424657534246576,1.9508934820803634,1.2814052837558954,61.51685393258427,81.56007304514938,30.416666666666664,58.94691337089664,34.27789538959666
RI,Caseworker,616,1386,196,852.5,815.5998464466564,7.420547945205479,11.468493150684932,2.282876712328767,7.16306539157405,4.685856059515765,130.3758362609423,152.98062606146613,84.12740540608297,121.0563386775517,61.646961189078034
SC,Caseworker,58,136.75,18,111.53466666666667,151.06251197364713,1.3246575342465754,2.9136986301369863,0.6410958904109589,1.9730812785388128,1.6811946390457262,60.9991642979115,103.28102372433769,18.063045028689984,66.48200675828348,51.70754384796171
SD,Caseworker,57,135,24,109.65315315315316,152.44427309961634,2.745205479452055,5.751369863013698,1.332876712328767,4.0086449463161795,3.4418018443936513,22.33398043565954,47.00664371084753,10.30018639732975,32.188536892140505,28.260863594243393
TN,Caseworker,106,206,39,143.67658855815918,137.04431750589586,1.3808219178082193,2.6136986301369864,0.8273972602739726,1.950349478457263,1.6147157404281263,81.88212927756653,103.61290322580646,45.68707482993197,77.0654282133624,41.3345459547859
