StaTerr,year,chpov,caseworkers,supervisors,caseworker_capacity,supervisor_capacity,screened_in_reports
IL,2011,651430,558,114,0.8565770689099367,0.17499961622891178,63337
IL,2012,621972,612,124,0.9839671239219772,0.1993658878534725,66201
IL,2013,613204,739,153,1.2051454328412732,0.24950913562207686,67591
IL,2014,591750,652,159,1.1018166455428813,0.26869455006337134,66000
IL,2015,557787,621,163,1.1133282059280694,0.2922262440680762,42977
IN,2004,250998,713,177,2.840660084940916,0.7051849018717281,36990
IN,2005,258976,696,183,2.6875077227233413,0.7066291857160509,41441
IN,2006,268729,829,218,3.0848922148335314,0.8112261795340286,42867
IN,2007,265192,994,259,3.7482276991764456,0.9766508793628768,42956
IN,2008,277503,1311,284,4.724273251099988,1.0234123595060234,65054
IN,2009,310140,1231,266,3.9691752111949445,0.8576771780486232,67263
IN,2010,340700,1084,250,3.181684766656883,0.7337833871441151,64235
IN,2011,353510,945,234,2.6731917060337755,0.6619331843512206,64417
IN,2012,345235,969,295,2.8067837849580717,0.854490419569279,84039
IN,2013,339807,1194,330,3.513759281003628,0.9711394997748722,97204
IN,2014,328349,1285,322,3.913518847324036,0.9806638668002643,106532
IN,2015,314486,1336,344,4.248201827744319,1.0938483748084176,69884
KS,2004,98641,300,50,3.0413316977727316,0.5068886162954552,15336
KS,2005,100253,328,53,3.2717225419688187,0.5286624839156933,14671
KS,2006,105191,327,53,3.1086309665275547,0.5038453860121114,15839
KS,2007,100242,350,54,3.491550447916043,0.5386963548213324,17104
KS,2008,100146,311,54,3.1054660196113675,0.5392127493858966,16946
KS,2009,118187,290,44,2.4537385668474534,0.37229136876306196,17281
KS,2010,129009,303,47,2.348673348371044,0.36431566789913883,18514
KS,2011,133478,301,41,2.2550532672050827,0.3071667241043468,21198
KS,2012,135261,325,40,2.4027620674104138,0.29572456214282017,23573
KS,2013,131251,294,47,2.239982933463364,0.3580925097713541,23797
KS,2014,125562,316,46,2.51668498431054,0.36635287746292666,23516
KS,2015,119994,295,43,2.4584562561461407,0.3583512508958781,13930
KY,2004,217368,1238,255,5.695410548010747,1.1731257590813735,47747
KY,2005,220222,1291,285,5.862266258593601,1.2941486318351483,48784
KY,2006,226101,1276,283,5.643495605946016,1.2516530223218827,48272
KY,2007,231398,1358,306,5.868676479485561,1.3223969092213417,48881
KY,2008,232097,1325,271,5.708820019216104,1.1676152643075954,49384
KY,2009,251684,1262,267,5.014224185883886,1.060854086870838,48925
KY,2010,261696,1244,262,4.753607238933724,1.0011616532159453,50190
KY,2011,272115,1205,264,4.428274810282417,0.970178049721625,51096
KY,2012,263744,1358,269,5.148932297985926,1.0199284154331474,53327
KY,2013,253390,1298,263,5.12253837957299,1.0379257271399818,52383
KY,2014,256368,1036,262,4.041065967671472,1.0219684203956811,56170
KY,2015,250180,375,80,1.4989207770405308,0.3197697657686466,29409
LA,2004,314522,370,NA,1.1763882971620427,NA,25388
LA,2005,329036,422,NA,1.282534433922124,NA,24804
LA,2006,302938,429,NA,1.4161313536103095,NA,22550
LA,2007,285425,383,NA,1.341858631864763,NA,22498
